symbol,stock_name,selection_date,entry_date,entry_close,target_date,evaluation_date,evaluation_close,return_pct,holding_period_label,selected,rank,weight,status
00955.TWO,中信日本商社,2026-02-11,2026-02-11,17.100000381469727,2026-03-11,2026-03-11,15.600000381469727,-0.087719,1m,True,1,0.03333333333333333,ok
1340.TW,勝悅-KY,2026-02-11,2026-02-11,7.210000038146973,2026-03-11,2026-03-11,7.139999866485596,-0.009709,1m,True,2,0.03333333333333333,ok
2022.TW,聚亨,2026-02-11,2026-02-11,9.0,2026-03-11,2026-03-11,9.149999618530273,0.016667,1m,True,3,0.03333333333333333,ok
2409.TW,友達,2026-02-11,2026-02-11,16.149999618530273,2026-03-11,2026-03-11,16.649999618530273,0.03096,1m,True,4,0.03333333333333333,ok
2337.TW,旺宏,2026-02-11,2026-02-11,98.5,2026-03-11,2026-03-11,99.69999694824219,0.012183,1m,True,5,0.03333333333333333,ok
2438.TW,翔耀,2026-02-11,2026-02-11,22.799999237060547,2026-03-11,2026-03-11,21.200000762939453,-0.070175,1m,True,6,0.03333333333333333,ok
2489.TW,瑞軒,2026-02-11,2026-02-11,27.100000381469727,2026-03-11,2026-03-11,37.45000076293945,0.381919,1m,True,7,0.03333333333333333,ok
2515.TW,中工,2026-02-11,2026-02-11,15.800000190734863,2026-03-11,2026-03-11,15.75,-0.003165,1m,True,8,0.03333333333333333,ok
2460.TW,建通,2026-02-11,2026-02-11,26.350000381469727,2026-03-11,2026-03-11,23.850000381469727,-0.094877,1m,True,9,0.03333333333333333,ok
2923.TW,鼎固-KY,2026-02-11,2026-02-11,22.700000762939453,2026-03-11,2026-03-11,19.5,-0.140969,1m,True,10,0.03333333333333333,ok
3018.TW,隆銘綠能,2026-02-11,2026-02-11,13.149999618530273,2026-03-11,2026-03-11,12.050000190734863,-0.08365,1m,True,11,0.03333333333333333,ok
3252.TWO,海灣,2026-02-11,2026-02-11,20.149999618530273,2026-03-11,2026-03-11,20.0,-0.007444,1m,True,12,0.03333333333333333,ok
3360.TWO,尚立,2026-02-11,2026-02-11,16.049999237060547,2026-03-11,2026-03-11,15.800000190734863,-0.015576,1m,True,13,0.03333333333333333,ok
4806.TWO,桂田文創,2026-02-11,2026-02-11,11.699999809265137,2026-03-11,2026-03-11,13.0,0.111111,1m,True,14,0.03333333333333333,ok
4908.TWO,前鼎,2026-02-11,2026-02-11,79.19999694824219,2026-03-11,2026-03-11,94.5,0.193182,1m,True,15,0.03333333333333333,ok
4925.TWO,智微,2026-02-11,2026-02-11,89.19999694824219,2026-03-11,2026-03-11,95.30000305175781,0.068386,1m,True,16,0.03333333333333333,ok
5355.TWO,佳總,2026-02-11,2026-02-11,7.440000057220459,2026-03-11,2026-03-11,7.670000076293945,0.030914,1m,True,17,0.03333333333333333,ok
6128.TW,上福,2026-02-11,2026-02-11,25.100000381469727,2026-03-11,2026-03-11,23.649999618530273,-0.057769,1m,True,18,0.03333333333333333,ok
6202.TW,盛群,2026-02-11,2026-02-11,56.5,2026-03-11,2026-03-11,55.79999923706055,-0.012389,1m,True,19,0.03333333333333333,ok
6291.TWO,沛亨,2026-02-11,2026-02-11,276.5,2026-03-11,2026-03-11,291.5,0.05425,1m,True,20,0.03333333333333333,ok
6509.TWO,聚和,2026-02-11,2026-02-11,37.70000076293945,2026-03-11,2026-03-11,41.04999923706055,0.088859,1m,True,21,0.03333333333333333,ok
6716.TWO,應廣,2026-02-11,2026-02-11,73.19999694824219,2026-03-11,2026-03-11,74.5,0.01776,1m,True,22,0.03333333333333333,ok
6720.TWO,久昌,2026-02-11,2026-02-11,163.13150024414062,2026-03-11,2026-03-11,163.62139892578125,0.003003,1m,True,23,0.03333333333333333,ok
6727.TWO,亞泰金屬,2026-02-11,2026-02-11,193.5,2026-03-11,2026-03-11,216.0,0.116279,1m,True,24,0.03333333333333333,ok
6831.TW,邁科,2026-02-11,2026-02-11,287.5,2026-03-11,2026-03-11,292.0,0.015652,1m,True,25,0.03333333333333333,ok
7419.TWO,達勝,2026-02-11,2026-02-11,24.350000381469727,2026-03-11,2026-03-11,53.900001525878906,1.213552,1m,True,26,0.03333333333333333,ok
7740.TW,熙特爾-創,2026-02-11,2026-02-11,160.0,2026-03-11,2026-03-11,202.0,0.2625,1m,True,27,0.03333333333333333,ok
7756.TWO,多那之,2026-02-11,2026-02-11,48.900001525878906,2026-03-11,2026-03-11,45.0,-0.079755,1m,True,28,0.03333333333333333,ok
7790.TWO,思必瑞特,2026-02-11,2026-02-11,67.0,2026-03-11,2026-03-11,63.900001525878906,-0.046269,1m,True,29,0.03333333333333333,ok
7799.TW,禾榮科,2026-02-11,2026-02-11,473.5,2026-03-11,2026-03-11,425.0,-0.102429,1m,True,30,0.03333333333333333,ok
1109.TW,信大,2026-02-11,2026-02-11,15.449999809265137,2026-03-11,2026-03-11,15.350000381469727,-0.006472,1m,False,,,ok
1307.TW,三芳,2026-02-11,2026-02-11,33.0,2026-03-11,2026-03-11,33.20000076293945,0.006061,1m,False,,,ok
2204.TW,中華,2026-02-11,2026-02-11,59.29999923706055,2026-03-11,2026-03-11,56.79999923706055,-0.042159,1m,False,,,ok
2836.TW,高雄銀,2026-02-11,2026-02-11,12.399999618530273,2026-03-11,2026-03-11,12.300000190734863,-0.008064,1m,False,,,ok
2849.TW,安泰銀,2026-02-11,2026-02-11,13.449999809265137,2026-03-11,2026-03-11,13.100000381469727,-0.026022,1m,False,,,ok
2897.TW,王道銀行,2026-02-11,2026-02-11,9.699999809265137,2026-03-11,2026-03-11,9.760000228881836,0.006186,1m,False,,,ok
2910.TW,統領,2026-02-11,2026-02-11,21.450000762939453,2026-03-11,2026-03-11,21.299999237060547,-0.006993,1m,False,,,ok
3184.TWO,微邦,2026-02-11,2026-02-11,11.899999618530273,2026-03-11,2026-03-11,12.050000190734863,0.012605,1m,False,,,ok
4305.TWO,世坤,2026-02-11,2026-02-11,42.900001525878906,2026-03-11,2026-03-11,43.150001525878906,0.005828,1m,False,,,ok
4430.TWO,耀億,2026-02-11,2026-02-11,18.799999237060547,2026-03-11,2026-03-11,18.700000762939453,-0.005319,1m,False,,,ok
4536.TW,拓凱,2026-02-11,2026-02-11,165.0,2026-03-11,2026-03-11,161.5,-0.021212,1m,False,,,ok
6530.TWO,創威,2026-02-11,2026-02-11,66.5999984741211,2026-03-11,2026-03-11,78.19999694824219,0.174174,1m,False,,,ok
6835.TW,圓裕,2026-02-11,2026-02-11,40.04999923706055,2026-03-11,2026-03-11,39.0,-0.026217,1m,False,,,ok
6655.TW,科定,2026-02-11,2026-02-11,128.5,2026-03-11,2026-03-11,130.5,0.015564,1m,False,,,ok
6856.TWO,鑫傳,2026-02-11,2026-02-11,56.79999923706055,2026-03-11,2026-03-11,54.5,-0.040493,1m,False,,,ok
6868.TWO,采威國際,2026-02-11,2026-02-11,25.5,2026-03-11,2026-03-11,24.700000762939453,-0.031373,1m,False,,,ok
7805.TWO,威聯通,2026-02-11,2026-02-11,668.0,2026-03-11,2026-03-11,678.0,0.01497,1m,False,,,ok
8033.TW,雷虎,2026-02-11,2026-02-11,148.0,2026-03-11,2026-03-11,143.5,-0.030405,1m,False,,,ok
8081.TW,致新,2026-02-11,2026-02-11,241.0,2026-03-11,2026-03-11,241.0,0.0,1m,False,,,ok
8103.TW,瀚荃,2026-02-11,2026-02-11,109.5,2026-03-11,2026-03-11,87.4000015258789,-0.201826,1m,False,,,ok
8367.TW,建新國際,2026-02-11,2026-02-11,43.099998474121094,2026-03-11,2026-03-11,46.04999923706055,0.068445,1m,False,,,ok
8421.TWO,旭源,2026-02-11,2026-02-11,13.350000381469727,2026-03-11,2026-03-11,13.699999809265137,0.026217,1m,False,,,ok
8487.TW,愛爾達-創,2026-02-11,2026-02-11,82.5999984741211,2026-03-11,2026-03-11,81.0,-0.01937,1m,False,,,ok
8931.TWO,大汽電,2026-02-11,2026-02-11,45.650001525878906,2026-03-11,2026-03-11,46.650001525878906,0.021906,1m,False,,,ok
9918.TW,欣天然,2026-02-11,2026-02-11,40.0,2026-03-11,2026-03-11,49.70000076293945,0.2425,1m,False,,,ok
9926.TW,新海,2026-02-11,2026-02-11,49.75,2026-03-11,2026-03-11,50.70000076293945,0.019095,1m,False,,,ok