symbol,stock_name,timestamp,rank,weight,reason,signal,score,selected,criteria_indicator,criteria_long_window,criteria_short_window,criteria_strategy
1614.TW,三洋電,2026-02-23,1,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1707.TW,葡萄王,2026-02-23,2,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1714.TW,和桐,2026-02-23,3,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1216.TW,統一,2026-02-23,4,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1560.TW,中砂,2026-02-23,5,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1315.TW,達新,2026-02-23,6,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1340.TW,勝悅-KY,2026-02-23,7,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1456.TW,怡華,2026-02-23,8,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1459.TW,聯發,2026-02-23,9,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1409.TW,新纖,2026-02-23,10,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1435.TW,中福,2026-02-23,11,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1439.TW,雋揚,2026-02-23,12,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1227.TW,佳格,2026-02-23,13,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1234.TW,黑松,2026-02-23,14,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1293.TWO,利統,2026-02-23,15,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1303.TW,南亞,2026-02-23,16,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1762.TW,中化生,2026-02-23,17,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2207.TW,和泰車,2026-02-23,18,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2008.TW,高興昌,2026-02-23,19,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2033.TW,佳大,2026-02-23,20,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2387.TW,精元,2026-02-23,21,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2107.TW,厚生,2026-02-23,22,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2108.TW,南帝,2026-02-23,23,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2258.TW,鴻華先進-創,2026-02-23,24,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2308.TW,台達電,2026-02-23,25,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2373.TW,震旦行,2026-02-23,26,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2415.TW,錩新,2026-02-23,27,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2427.TW,三商電,2026-02-23,28,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2516.TW,新建,2026-02-23,29,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2905.TW,三商,2026-02-23,30,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2755.TWO,揚秦,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2816.TW,旺旺保,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2834.TW,臺企銀,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2849.TW,安泰銀,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2548.TW,華固,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2450.TW,神腦,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2480.TW,敦陽科,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2633.TW,台灣高鐵,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2701.TW,萬企,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3219.TWO,倚強科,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3360.TWO,尚立,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3026.TW,禾伸堂,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3033.TW,威健,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3042.TW,晶技,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3010.TW,華立,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3014.TW,聯陽,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3064.TWO,泰偉,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3527.TWO,聚積,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3532.TW,台勝科,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
4169.TWO,泰宗,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3679.TW,新至陞,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3684.TWO,榮昌,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3702.TW,大聯大,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
4102.TWO,永日,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
4560.TW,強信-KY,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
4728.TWO,雙美,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
4737.TW,華廣,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
4919.TW,新唐,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
4506.TWO,崇友,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
4523.TWO,永彰,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
4540.TW,全球傳動,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
4551.TW,智伸科,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
5215.TW,科嘉-KY,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
5223.TWO,安力-KY,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
5525.TW,順天,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
5607.TW,遠雄港,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
5267.TWO,龍翩,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6115.TW,鎰勝,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6005.TW,群益證,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6024.TW,群益期,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
5291.TWO,邑昇,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6259.TWO,百徽,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6525.TW,捷敏-KY,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6543.TWO,普惠醫工,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6185.TWO,幃翔,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6192.TW,巨路,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6505.TW,台塑化,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6560.TWO,欣普羅,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6705.TWO,振躍精密,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6669.TW,緯穎,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6782.TW,視陽,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6792.TW,詠業,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6859.TWO,伯特光,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6965.TW,中傑-KY,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6884.TWO,海柏特,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
7583.TWO,國際海洋,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6958.TW,日盛台駿,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
6922.TWO,宸曜,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
7732.TW,金興精密,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
7749.TW,意騰-KY,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
8045.TW,達運光電,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
7833.TWO,綠岩能源,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
8101.TW,華冠,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
8271.TW,宇瞻,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
9939.TW,宏全,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
9949.TWO,琉園,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
8930.TWO,青鋼,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
8937.TWO,合騏,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
8941.TWO,關中,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
8450.TWO,霹靂,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
8488.TW,吉源-KY,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
9912.TW,偉聯,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
9931.TW,欣高,2026-02-23,,,buy,buy,1.0,False,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
